ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,price,size,flags,ts_in_delta,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_pb_00,ask_pb_00,symbol
2023-08-28T13:30:00.408070605Z,2023-08-28T13:30:00.407866880Z,194,26,687866918,T,N,2.850000000,12,194,0,,,0,0,0,0,TSLA  230901C00250000
2023-08-28T13:30:00.428713941Z,2023-08-28T13:30:00.428510464Z,194,35,687866918,T,N,2.830000000,5,194,0,2.220000000,3.000000000,10,8,0,0,TSLA  230901C00250000
2023-08-28T13:30:00.634158756Z,2023-08-28T13:30:00.633955328Z,194,31,687866918,T,N,2.890000000,1,194,0,2.600000000,2.890000000,1,1,0,0,TSLA  230901C00250000
2023-08-28T13:30:00.675697685Z,2023-08-28T13:30:00.675494144Z,194,35,687866918,T,N,2.900000000,3,194,0,2.860000000,2.940000000,35,35,0,0,TSLA  230901C00250000
2023-08-28T13:30:00.720674880Z,2023-08-28T13:30:00.720471296Z,194,20,687866918,T,N,2.860000000,4,194,0,2.860000000,2.860000000,35,18,0,0,TSLA  230901C00250000
2023-08-28T13:30:00.720690131Z,2023-08-28T13:30:00.720486400Z,194,20,687866918,T,N,2.860000000,2,194,0,2.860000000,2.860000000,35,18,0,0,TSLA  230901C00250000
2023-08-28T13:30:00.720690131Z,2023-08-28T13:30:00.720486400Z,194,20,687866918,T,N,2.860000000,12,194,0,2.860000000,2.860000000,35,18,0,0,TSLA  230901C00250000
2023-08-28T13:30:00.734279620Z,2023-08-28T13:30:00.734073856Z,194,27,687866918,T,N,2.930000000,1,194,0,2.860000000,2.940000000,162,35,0,0,TSLA  230901C00250000
2023-08-28T13:30:00.737921030Z,2023-08-28T13:30:00.737717248Z,194,26,687866918,T,N,2.940000000,1,194,0,2.860000000,2.940000000,162,35,0,0,TSLA  230901C00250000
2023-08-28T13:30:01.149913124Z,2023-08-28T13:30:01.149709312Z,194,33,687866918,T,N,2.860000000,21,194,0,2.850000000,2.940000000,13,10,0,0,TSLA  230901C00250000
2023-08-28T13:30:01.153311543Z,2023-08-28T13:30:01.153107456Z,194,26,687866918,T,N,2.850000000,1,194,0,2.850000000,2.950000000,13,13,0,0,TSLA  230901C00250000
2023-08-28T13:30:01.153543066Z,2023-08-28T13:30:01.153337856Z,194,26,687866918,T,N,2.850000000,1,194,0,2.850000000,2.950000000,13,13,0,0,TSLA  230901C00250000
2023-08-28T13:30:01.154535092Z,2023-08-28T13:30:01.154330368Z,194,26,687866918,T,N,2.850000000,1,194,0,2.850000000,2.950000000,13,13,0,0,TSLA  230901C00250000
2023-08-28T13:30:01.166367474Z,2023-08-28T13:30:01.166163456Z,194,31,687866918,T,N,2.860000000,9,194,0,2.860000000,2.950000000,189,13,0,0,TSLA  230901C00250000
2023-08-28T13:30:01.233878281Z,2023-08-28T13:30:01.233674496Z,194,31,687866918,T,N,2.990000000,2,194,0,2.990000000,3.000000000,2,23,0,0,TSLA  230901C00250000
2023-08-28T13:30:01.241807236Z,2023-08-28T13:30:01.241603328Z,194,28,687866918,T,N,3.000000000,19,194,0,2.640000000,3.000000000,60,50,0,0,TSLA  230901C00250000
2023-08-28T13:30:01.242163251Z,2023-08-28T13:30:01.241959168Z,194,20,687866918,T,N,3.000000000,1,194,0,2.800000000,3.000000000,1,50,0,0,TSLA  230901C00250000
2023-08-28T13:30:01.259680215Z,2023-08-28T13:30:01.259475968Z,194,28,687866918,T,N,2.820000000,1,194,0,2.820000000,2.940000000,17,17,0,0,TSLA  230901C00250000
2023-08-28T13:30:01.259860506Z,2023-08-28T13:30:01.259656448Z,194,28,687866918,T,N,2.820000000,4,194,0,2.820000000,2.940000000,16,17,0,0,TSLA  230901C00250000
2023-08-28T13:30:01.363742898Z,2023-08-28T13:30:01.363538944Z,194,35,687866918,T,N,2.830000000,1,194,0,2.820000000,2.920000000,4,4,0,0,TSLA  230901C00250000
