ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol
2023-08-28T13:30:00.408070605Z,2023-08-28T13:30:00.407866880Z,0,26,687866918,T,N,0,2.850000000,12,194,0,47432,TSLA  230901C00250000
2023-08-28T13:30:00.428713941Z,2023-08-28T13:30:00.428510464Z,0,35,687866918,T,N,0,2.830000000,5,194,0,47484,TSLA  230901C00250000
2023-08-28T13:30:00.634158756Z,2023-08-28T13:30:00.633955328Z,0,31,687866918,T,N,0,2.890000000,1,194,0,48872,TSLA  230901C00250000
2023-08-28T13:30:00.675697685Z,2023-08-28T13:30:00.675494144Z,0,35,687866918,T,N,0,2.900000000,3,194,0,49572,TSLA  230901C00250000
2023-08-28T13:30:00.720674880Z,2023-08-28T13:30:00.720471296Z,0,20,687866918,T,N,0,2.860000000,4,194,0,52560,TSLA  230901C00250000
2023-08-28T13:30:00.720690131Z,2023-08-28T13:30:00.720486400Z,0,20,687866918,T,N,0,2.860000000,2,194,0,52561,TSLA  230901C00250000
2023-08-28T13:30:00.720690131Z,2023-08-28T13:30:00.720486400Z,0,20,687866918,T,N,0,2.860000000,12,194,0,52562,TSLA  230901C00250000
2023-08-28T13:30:00.734279620Z,2023-08-28T13:30:00.734073856Z,0,27,687866918,T,N,0,2.930000000,1,194,0,52680,TSLA  230901C00250000
2023-08-28T13:30:00.737921030Z,2023-08-28T13:30:00.737717248Z,0,26,687866918,T,N,0,2.940000000,1,194,0,52794,TSLA  230901C00250000
2023-08-28T13:30:01.149913124Z,2023-08-28T13:30:01.149709312Z,0,33,687866918,T,N,0,2.860000000,21,194,0,84206,TSLA  230901C00250000
2023-08-28T13:30:01.153311543Z,2023-08-28T13:30:01.153107456Z,0,26,687866918,T,N,0,2.850000000,1,194,0,84453,TSLA  230901C00250000
2023-08-28T13:30:01.153543066Z,2023-08-28T13:30:01.153337856Z,0,26,687866918,T,N,0,2.850000000,1,194,0,84470,TSLA  230901C00250000
2023-08-28T13:30:01.154535092Z,2023-08-28T13:30:01.154330368Z,0,26,687866918,T,N,0,2.850000000,1,194,0,84522,TSLA  230901C00250000
2023-08-28T13:30:01.166367474Z,2023-08-28T13:30:01.166163456Z,0,31,687866918,T,N,0,2.860000000,9,194,0,85490,TSLA  230901C00250000
2023-08-28T13:30:01.233878281Z,2023-08-28T13:30:01.233674496Z,0,31,687866918,T,N,0,2.990000000,2,194,0,91222,TSLA  230901C00250000
2023-08-28T13:30:01.241807236Z,2023-08-28T13:30:01.241603328Z,0,28,687866918,T,N,0,3.000000000,19,194,0,91396,TSLA  230901C00250000
2023-08-28T13:30:01.242163251Z,2023-08-28T13:30:01.241959168Z,0,20,687866918,T,N,0,3.000000000,1,194,0,91407,TSLA  230901C00250000
2023-08-28T13:30:01.259680215Z,2023-08-28T13:30:01.259475968Z,0,28,687866918,T,N,0,2.820000000,1,194,0,91745,TSLA  230901C00250000
2023-08-28T13:30:01.259860506Z,2023-08-28T13:30:01.259656448Z,0,28,687866918,T,N,0,2.820000000,4,194,0,91748,TSLA  230901C00250000
2023-08-28T13:30:01.363742898Z,2023-08-28T13:30:01.363538944Z,0,35,687866918,T,N,0,2.830000000,1,194,0,95297,TSLA  230901C00250000
